"tab_code","表章項目","cat01_code","労働力状態３区分_時系列","cat02_code","男女_時系列","area_code","地域_時系列","time_code","時間軸（調査年）","unit","value"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","1950000000","1950年","人","642281"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","1955000000","1955年","人","640530"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","1960000000","1960年","人","679351"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","1965000000","1965年","人","736483"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","1970000000","1970年","人","767040"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","1975000000","1975年","人","811515"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","1980000000","1980年","人","852678"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","1985000000","1985年","人","897944"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","1990000000","1990年","人","947070"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","1995000000","1995年","人","990243"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","2000000000","2000年","人","1000803"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","2005000000","2005年","人","1006996"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","2010000000","2010年","人","1001288"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","2015000000","2015年","人","989666"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","2020000000","2020年","人","975043"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","2015000010","2015年_不詳補完値","人","989666"
"320","15歳以上人口","100","総数","100","総数","17000","石川県","2020000010","2020年_不詳補完値","人","975043"
"320","15歳以上人口","100","総数","100","総数","18000","福井県","1950000000","1950年","人","510905"
"320","15歳以上人口","100","総数","100","総数","18000","福井県","1955000000","1955年","人","502838"
"320","15歳以上人口","100","総数","100","総数","18000","福井県","1960000000","1960年","人","521746"
"320","15歳以上人口","100","総数","100","総数","18000","福井県","1965000000","1965年","人","553598"
"320","15歳以上人口","100","総数","100","総数","18000","福井県","1970000000","1970年","人","566174"
"320","15歳以上人口","100","総数","100","総数","18000","福井県","1975000000","1975年","人","590827"
"320","15歳以上人口","100","総数","100","総数","18000","福井県","1980000000","1980年","人","612781"
